id,Cion,Market_Cap,Open,Date,High,Low,Volume,Close
0,Bitcoin,3906064342351.5913,215220.8035144636,1577808000,216636.0750464465,214624.104435527,555354737048.9308,215386.0095842499
1,Bitcoin,4374369741670.686,244678.0037408283,1578672000,246361.7458634421,240704.5814700171,765047965764.1783,240941.2583016594
2,Bitcoin,4742807405214.16,262842.2309567939,1579622400,263416.1051094719,259128.324652557,679339533556.4315,259896.7565089008
3,Bitcoin,5162431926427.418,285084.3429618327,1580572800,287482.164479187,279862.3537741979,936203809420.7418,283704.2746583439
4,Bitcoin,5635665208221.721,305704.3436674527,1581436800,311725.202787218,305704.3436674527,1301765119969.097,309079.4640303271
5,Bitcoin,5501644226076.54,293784.2133543878,1582387200,302095.4252783467,293616.1663802571,1252112017520.8486,301703.6055438453
6,Bitcoin,4954548571144.567,261888.7212854482,1583337600,273964.512122572,261798.1093479244,1186773342190.0457,271627.5039660691
7,Bitcoin,2750562043021.218,161648.4291643376,1584288000,161648.4291643376,138255.8769398465,1361812003969.8926,151690.5265587586
8,Bitcoin,3720714642465.4004,202194.2567367876,1585152000,204074.4523500011,199468.902216184,1069854330460.763,202735.757961302
9,Bitcoin,4029494234686.9863,205440.3272838607,1586102400,219804.1216308818,205284.1581206218,1419334818170.8123,219804.1216308818
10,Bitcoin,3910809263335.67,213959.1541790622,1587052800,215395.350326042,212049.3052816864,977516079554.8247,213261.6375506156
11,Bitcoin,4304675510614.5527,231104.4339068801,1587916800,233306.7417752154,231104.4339068801,1088263583345.3544,233306.7417752154
12,Bitcoin,5401545368650.964,296842.8640847176,1588867200,298732.6816188943,291867.5590395161,1546949899534.0227,293872.4897448975
13,Bitcoin,5354666231776.39,291252.6019552841,1589817600,294584.7053215356,285668.8121518793,1175371547034.4097,291238.7501112523
14,Bitcoin,5344479092475.094,282785.144260425,1590768000,290727.8960508742,280622.5299910811,980363973742.8862,290619.5553807966
