@relation ethereum_tran

@attribute id numeric
@attribute CoinDate date yyyy/MM/dd
@attribute CoinOpen numeric
@attribute CoinHigh numeric
@attribute CoinLow numeric
@attribute CoinClose numeric
@attribute CoinVolume numeric
@attribute CoinCap numeric

@data
0,2022/12/03,1294.46,1299.84,1241.43,1243.33,5672609405,152151698373
1,2022/12/02,1276.33,1294.3,1269.24,1294.3,6213645709,158388908312
2,2022/12/01,1295.77,1296,1267.71,1276.27,6857935276,156182574200
3,2022/11/30,1216.93,1302.04,1215.5,1295.69,9836925304,158558424120
4,2022/11/29,1169.87,1222.16,1163.48,1216.9,7639405818,148916903134
5,2022/11/28,1194.96,1198.74,1156.06,1170.09,7275411870,143187967151
6,2022/11/27,1205.91,1220.35,1195.04,1195.13,4486976868,146252301744
7,2022/11/26,1198.79,1227.04,1198.1,1205.9,5074160558,147570393015
8,2022/11/25,1203.8,1203.8,1174.82,1198.93,5483308196,146717202126
9,2022/11/24,1183.35,1211.63,1180.38,1203.98,9706372376,147336079453
10,2022/11/23,1135.42,1185,1130.02,1183.2,11242676044,144792704215
11,2022/11/22,1107.9,1136.44,1081.14,1135.17,12040670755,138915559235
12,2022/11/21,1142.4,1142.4,1084.86,1108.35,14080099208,135633447403
13,2022/11/20,1218.44,1224.08,1137.93,1142.47,9651002684,139808065218
14,2022/11/19,1212.22,1227.84,1200.48,1218.43,5978745776,149103599323
15,2022/11/18,1200.8,1226.74,1200.8,1212.3,7979913378,148353868235
16,2022/11/17,1215.85,1224.97,1189.15,1200.81,9723646871,146947591531
17,2022/11/16,1251.81,1264.49,1192.99,1215.6,11939561598,148757983065
18,2022/11/15,1241.68,1283.2,1238.69,1251.74,11798011594,153179798257
19,2022/11/14,1221.9,1284.22,1178.43,1241.6,15028035663,151939907866
20,2022/11/13,1255.44,1271.71,1208.52,1221.82,10717455214,149518741493
21,2022/11/12,1287.44,1288.15,1242.15,1255.27,10964962767,153612038147
22,2022/11/11,1298.88,1302.3,1211.33,1287.22,20920539099,157522222703
23,2022/11/10,1100.11,1341.79,1093.12,1299.46,28581002122,159020508320
24,2022/11/09,1333.12,1335.74,1083.29,1100.17,38864492427,134632026975
25,2022/11/08,1568.33,1574.8,1259.44,1332.84,42048003440,163104244541
26,2022/11/07,1572.02,1604.48,1550.42,1568.59,15279963349,191954575288
27,2022/11/06,1627.9,1634.13,1572.23,1572.23,11632744705,192400441552
28,2022/11/05,1645.16,1660.49,1625.96,1627.97,11006973190,199220740932
29,2022/11/04,1531.4,1661.33,1529.27,1645.09,20806964347,201316434920
30,2022/11/03,1519.72,1556.76,1517.1,1531.54,14248351007,187420674445
31,2022/11/02,1579.5,1613.41,1507.24,1519.71,23254218281,185973007218
32,2022/11/01,1572.65,1606.61,1568.1,1579.7,14507311208,193314548592
33,2022/10/31,1590.48,1630.45,1555.92,1572.71,19306919714,192459145336
34,2022/10/30,1619.7,1637.04,1579.49,1590.78,13930073427,194670301517
35,2022/10/29,1555.27,1652.38,1549.98,1619.7,21618154775,198208758107
36,2022/10/28,1514.32,1568.63,1493.87,1555.48,19974623205,190349837407
37,2022/10/27,1566.84,1574.4,1510.82,1514.37,22813499245,185319902025
38,2022/10/26,1461.13,1584.64,1460.43,1566.57,32705548427,191706811085
39,2022/10/25,1344.71,1509.99,1336.98,1461.67,25367291294,178869645044
40,2022/10/24,1363.49,1368.43,1327.85,1345,13092820173,164592661444
41,2022/10/23,1314.25,1367.76,1302.91,1363.45,9909510925,166850284146
42,2022/10/22,1299.9,1317.1,1295.95,1314.3,7175324564,160835874209
43,2022/10/21,1283.19,1305.08,1260.67,1299.95,10412565245,159079468497
44,2022/10/20,1285.66,1307.86,1275.32,1283.2,9009111996,157030254550
45,2022/10/19,1310.56,1312.44,1283.97,1285.74,8350692785,157341486087
46,2022/10/18,1331.67,1339.09,1291.66,1310.45,10416747806,160364466786
47,2022/10/17,1306.31,1335.65,1297.45,1331.71,9401189650,162966939318
48,2022/10/16,1275.01,1312.63,1275.01,1306.3,7491625206,159856564472
49,2022/10/15,1297.31,1300.75,1268.47,1274.87,6798512624,156569408718
50,2022/10/14,1288.05,1339.74,1285.38,1297.42,13113767755,159320275670
51,2022/10/13,1294.92,1297.56,1209.28,1288.12,17499038202,158160024665
52,2022/10/12,1279.73,1303.08,1277.53,1294.91,8355638578,158974260182
53,2022/10/11,1291.11,1296.27,1272.74,1279.58,9274845260,157073807505
54,2022/10/10,1322.62,1335.66,1291.34,1291.34,8794491050,158499128157
55,2022/10/09,1315.46,1327.67,1309.34,1322.6,5486230123,162317860621
56,2022/10/08,1332.37,1335.95,1307.07,1315.5,5804676208,161427190438
57,2022/10/07,1351.84,1359.33,1321.75,1332.52,10061619355,163496205911
58,2022/10/06,1352.81,1380.4,1349.45,1351.71,12033514861,165831763020
59,2022/10/05,1361.97,1362.45,1320.86,1352.84,9774451820,165950737480
60,2022/10/04,1323.28,1364.97,1320.08,1362.13,10139774963,167070804931
61,2022/10/03,1276.16,1326.55,1271.15,1323.44,10153070907,162306742246
62,2022/10/02,1311.75,1316.33,1275.34,1276.09,7578351650,156481992825
63,2022/10/01,1328.19,1332.52,1306.1,1311.64,6227961237,160822630103
64,2022/09/30,1335.65,1368.74,1320.38,1327.98,14250100093,162806430081
65,2022/09/29,1337.55,1348.11,1293.19,1335.65,13796915736,163728077713
66,2022/09/28,1329.54,1351.96,1267.87,1337.41,18994979566,163924504661
67,2022/09/27,1335.34,1396.89,1308.99,1330.13,17870598937,163012762381
68,2022/09/26,1294.39,1335.53,1282.05,1335.32,16034549271,163630053852
69,2022/09/25,1317.94,1333.37,1275.63,1294.22,11802651633,158574740489
70,2022/09/24,1328.24,1346.26,1312.64,1317.99,12098209717,161469074852
71,2022/09/23,1327.48,1353.29,1270.2,1328.26,18771106339,162707764850
72,2022/09/22,1251.57,1336.16,1240.97,1327.68,18461527259,162617761176
73,2022/09/21,1324.22,1384.48,1229.43,1252.61,20643507800,153404799858
74,2022/09/20,1377.62,1381.97,1319.2,1324.39,14722317220,162176944253
75,2022/09/19,1335.27,1388.27,1287.42,1377.54,18712714223,168666096121
76,2022/09/18,1469.71,1469.71,1331.49,1335.33,15762284723,163478613612
77,2022/09/17,1432.88,1473.06,1415.04,1469.74,10798098671,179913195987
78,2022/09/16,1471.93,1480.56,1415.58,1432.45,16764804299,175325880263
79,2022/09/15,1635.08,1648.95,1466.14,1471.69,26946275878,180110291828
80,2022/09/14,1574.86,1642.16,1564.03,1634.76,17897150206,200044200374
81,2022/09/13,1713.96,1745.78,1564.03,1580.79,23066821734,193422316198
82,2022/09/12,1762.08,1778.16,1698.29,1713.77,17688391310,209669571068
83,2022/09/11,1775.98,1782.73,1730.16,1761.8,12464301922,215523920726
84,2022/09/10,1718.96,1784.5,1710.3,1776.2,13130928217,217263495408
85,2022/09/09,1635.19,1735.81,1632.84,1719.09,20242323690,210255158290
86,2022/09/08,1629.81,1655.06,1603.06,1635.35,17621046717,199992630006
87,2022/09/07,1560.91,1651.05,1500.01,1629.91,19560363854,199305881390
88,2022/09/06,1617.24,1680.6,1561.75,1561.75,22946059125,190949580969
89,2022/09/05,1577.88,1621.66,1559.78,1617.18,13060541168,197707916936
90,2022/09/04,1556.9,1578.01,1543.7,1577.64,8884144998,192853381586
91,2022/09/03,1577.21,1579.45,1541.67,1556.87,9516825994,190294120192
92,2022/09/02,1586.02,1643.18,1551.88,1577.22,17708478709,192760741606
93,2022/09/01,1553.76,1593.08,1520.19,1586.18,16434276817,193834454492
94,2022/08/31,1524.29,1612.36,1524.29,1553.68,20591680941,189843590076
95,2022/08/30,1553.19,1600.46,1480.83,1523.84,21835784470,186176738543
96,2022/08/29,1430.44,1556.31,1427.73,1553.04,17965837488,189722196186
97,2022/08/28,1491.21,1505.79,1430.55,1430.55,12823572918,174741315285
98,2022/08/27,1508.16,1517.15,1454.28,1491.4,18120831899,182154372411
99,2022/08/26,1696.32,1698.56,1498.77,1507.78,26713710143,184136247398
100,2022/08/25,1657.34,1718.18,1656.86,1696.46,14818795695,207155539271
101,2022/08/24,1662.7,1686.56,1610.1,1657.06,16780932907,202323303041
102,2022/08/23,1622.94,1666.68,1569.43,1662.77,18322041914,202998758195
103,2022/08/22,1619.17,1622.78,1535.01,1622.51,18557078599,198061389785
104,2022/08/21,1576.54,1640.94,1569.05,1619.32,15849221752,197650970990
105,2022/08/20,1612.65,1652.22,1534.3,1577,18334580263,192465075466
106,2022/08/19,1847.1,1847.1,1611.34,1612.99,25906358731,196835222643
107,2022/08/18,1833.72,1876.38,1826.96,1847.01,14999352229,225368717991
108,2022/08/17,1877.93,1951.68,1823.53,1833,20308508124,223635240252
109,2022/08/16,1902.83,1910.75,1862.27,1878.14,15637578930,229117813779
110,2022/08/15,1936.76,2007.21,1881.86,1904.23,20349931313,232274942657
111,2022/08/14,1981.78,2022.79,1919.01,1936.8,14062754456,236222871624
112,2022/08/13,1957.33,2013.76,1948.6,1981.34,16038975216,241628050424
113,2022/08/12,1880.9,1957.55,1860.08,1957.25,17168141904,238664195002
114,2022/08/11,1851.83,1927.94,1851.83,1881.22,23826986482,229369148921
115,2022/08/10,1702.91,1869.4,1665.09,1851.74,23512477984,225750054993
116,2022/08/09,1776.07,1786.12,1675.85,1703.03,16368619692,207597034307
117,2022/08/08,1699.69,1806.89,1697.41,1775.52,16841424404,216409762110
118,2022/08/07,1691.78,1724.79,1672.91,1699.35,10252090340,207103611495
119,2022/08/06,1732.66,1744.33,1691.66,1691.66,11757911705,206143302111
120,2022/08/05,1607.52,1732.25,1606.5,1732.25,18546491876,211067071405
121,2022/08/04,1618.89,1658.51,1585.33,1608.21,14467440626,195930417589
122,2022/08/03,1633.05,1678.1,1595.63,1618.87,16786218830,197208540575
123,2022/08/02,1634.65,1672.63,1567.85,1632.95,20426082309,198900803868
124,2022/08/01,1681.45,1700.17,1613.42,1635.2,16191371176,199152780196
125,2022/07/31,1695.88,1745.88,1672.61,1681.52,14200735370,204771722889
126,2022/07/30,1727.06,1738.02,1678.11,1695.97,15576977870,206508772876
127,2022/07/29,1725.62,1759.88,1662.79,1727.41,23249531113,210313498732
128,2022/07/28,1636.23,1774.58,1604.89,1725.47,27231399966,210050435904
129,2022/07/27,1443.73,1636.8,1423.62,1636.23,23007524016,199168822142
130,2022/07/26,1445.15,1445.15,1362.95,1441.81,18238563509,175483010010
131,2022/07/25,1599.16,1605.34,1445.38,1445.38,20585056021,175898851084
132,2022/07/24,1549.22,1654.43,1548.67,1599.48,17217849557,194630191920
133,2022/07/23,1536.46,1591.63,1495.68,1549.3,14998811383,188503496052
134,2022/07/22,1576.75,1641.21,1523.64,1537.41,18926100582,187035568058
135,2022/07/21,1520.37,1595.76,1472.19,1576.75,20009556587,191800749216
136,2022/07/20,1542.95,1612.65,1500.8,1520.2,22942708340,184901273324
137,2022/07/19,1578.38,1607.03,1501.8,1542.98,27753529276,187650624168
