@relation final_bitcoin

@attribute id numeric
@attribute CoinDate {2022/12/03,2022/12/02,2022/12/01,2022/11/30,2022/11/29,2022/11/28,2022/11/27,2022/11/26,2022/11/25,2022/11/24,2022/11/23,2022/11/22,2022/11/21,2022/11/20,2022/11/19,2022/11/18,2022/11/17,2022/11/16,2022/11/15,2022/11/14,2022/11/13,2022/11/12,2022/11/11,2022/11/10,2022/11/09,2022/11/08,2022/11/07,2022/11/06,2022/11/05,2022/11/04,2022/11/03,2022/11/02,2022/11/01,2022/10/31,2022/10/30,2022/10/29,2022/10/28,2022/10/27,2022/10/26,2022/10/25,2022/10/24,2022/10/23,2022/10/22,2022/10/21,2022/10/20,2022/10/19,2022/10/18,2022/10/17,2022/10/16,2022/10/15,2022/10/14,2022/10/13,2022/10/12,2022/10/11,2022/10/10,2022/10/09,2022/10/08,2022/10/07,2022/10/06,2022/10/05,2022/10/04,2022/10/03,2022/10/02,2022/10/01,2022/09/30,2022/09/29,2022/09/28,2022/09/27,2022/09/26,2022/09/25,2022/09/24,2022/09/23,2022/09/22,2022/09/21,2022/09/20,2022/09/19,2022/09/18,2022/09/17,2022/09/16,2022/09/15,2022/09/14,2022/09/13,2022/09/12,2022/09/11,2022/09/10,2022/09/09,2022/09/08,2022/09/07,2022/09/06,2022/09/05,2022/09/04,2022/09/03,2022/09/02,2022/09/01,2022/08/31,2022/08/30,2022/08/29,2022/08/28,2022/08/27,2022/08/26,2022/08/25,2022/08/24,2022/08/23,2022/08/22,2022/08/21,2022/08/20,2022/08/19,2022/08/18,2022/08/17,2022/08/16,2022/08/15,2022/08/14,2022/08/13,2022/08/12,2022/08/11,2022/08/10,2022/08/09,2022/08/08,2022/08/07,2022/08/06,2022/08/05,2022/08/04,2022/08/03,2022/08/02,2022/08/01,2022/07/31,2022/07/30,2022/07/29,2022/07/28,2022/07/27,2022/07/26,2022/07/25,2022/07/24,2022/07/23,2022/07/22,2022/07/21,2022/07/20,2022/07/19,2022/07/18,2022/07/17,2022/07/16,2022/07/15,2022/07/14,2022/07/13,2022/07/12,2022/07/11,2022/07/10,2022/07/09,2022/07/08,2022/07/07,2022/07/06,2022/07/05,2022/07/04,2022/07/03,2022/07/02,2022/07/01,2022/06/30,2022/06/29,2022/06/28,2022/06/27,2022/06/26,2022/06/25,2022/06/24,2022/06/23,2022/06/22,2022/06/21,2022/06/20,2022/06/19,2022/06/18,2022/06/17,2022/06/16,2022/06/15,2022/06/14,2022/06/13,2022/06/12,2022/06/11,2022/06/10,2022/06/09,2022/06/08,2022/06/07,2022/06/06,2022/06/05,2022/06/04,2022/06/03,2022/06/02,2022/06/01,2022/05/31,2022/05/30,2022/05/29,2022/05/28,2022/05/27,2022/05/26,2022/05/25,2022/05/24,2022/05/23,2022/05/22,2022/05/21,2022/05/20,2022/05/19,2022/05/18,2022/05/17,2022/05/16,2022/05/15,2022/05/14,2022/05/13,2022/05/12,2022/05/11,2022/05/10,2022/05/09,2022/05/08,2022/05/07,2022/05/06,2022/05/05,2022/05/04,2022/05/03,2022/05/02,2022/05/01,2022/04/30,2022/04/29,2022/04/28,2022/04/27,2022/04/26,2022/04/25,2022/04/24,2022/04/23,2022/04/22,2022/04/21,2022/04/20,2022/04/19,2022/04/18,2022/04/17,2022/04/16,2022/04/15,2022/04/14,2022/04/13,2022/04/12,2022/04/11,2022/04/10,2022/04/09,2022/04/08,2022/04/07,2022/04/06,2022/04/05,2022/04/04,2022/04/03,2022/04/02,2022/04/01,2022/03/31,2022/03/30,2022/03/29,2022/03/28,2022/03/27,2022/03/26,2022/03/25,2022/03/24,2022/03/23,2022/03/22,2022/03/21,2022/03/20,2022/03/19,2022/03/18,2022/03/17,2022/03/16,2022/03/15,2022/03/14,2022/03/13,2022/03/12,2022/03/11,2022/03/10,2022/03/09,2022/03/08,2022/03/07,2022/03/06,2022/03/05,2022/03/04,2022/03/03,2022/03/02,2022/03/01,2022/02/28,2022/02/27,2022/02/26,2022/02/25,2022/02/24,2022/02/23,2022/02/22,2022/02/21,2022/02/20,2022/02/19,2022/02/18,2022/02/17,2022/02/16,2022/02/15,2022/02/14,2022/02/13,2022/02/12,2022/02/11,2022/02/10,2022/02/09,2022/02/08,2022/02/07,2022/02/06,2022/02/05,2022/02/04,2022/02/03,2022/02/02,2022/02/01,2022/01/31,2022/01/30,2022/01/29,2022/01/28,2022/01/27,2022/01/26,2022/01/25,2022/01/24,2022/01/23,2022/01/22,2022/01/21,2022/01/20,2022/01/19,2022/01/18,2022/01/17,2022/01/16,2022/01/15,2022/01/14,2022/01/13,2022/01/12,2022/01/11,2022/01/10,2022/01/09,2022/01/08,2022/01/07,2022/01/06,2022/01/05,2022/01/04,2022/01/03,2022/01/02,2022/01/01,2021/12/31,2021/12/30,2021/12/29,2021/12/28,2021/12/27,2021/12/26,2021/12/25,2021/12/24,2021/12/23,2021/12/22,2021/12/21,2021/12/20,2021/12/19,2021/12/18,2021/12/17,2021/12/16,2021/12/15,2021/12/14,2021/12/13,2021/12/12,2021/12/11,2021/12/10,2021/12/09,2021/12/08,2021/12/07,2021/12/06,2021/12/05,2021/12/04,2021/12/03,2021/12/02,2021/12/01,2021/11/30,2021/11/29,2021/11/28,2021/11/27,2021/11/26,2021/11/25,2021/11/24,2021/11/23,2021/11/22,2021/11/21,2021/11/20,2021/11/19,2021/11/18,2021/11/17,2021/11/16,2021/11/15,2021/11/14,2021/11/13,2021/11/12,2021/11/11,2021/11/10,2021/11/09,2021/11/08,2021/11/07,2021/11/06,2021/11/05,2021/11/04,2021/11/03,2021/11/02,2021/11/01,2021/10/31,2021/10/30,2021/10/29,2021/10/28,2021/10/27,2021/10/26,2021/10/25,2021/10/24,2021/10/23,2021/10/22,2021/10/21,2021/10/20,2021/10/19,2021/10/18,2021/10/17,2021/10/16,2021/10/15,2021/10/14,2021/10/13,2021/10/12,2021/10/11,2021/10/10,2021/10/09,2021/10/08,2021/10/07,2021/10/06,2021/10/05,2021/10/04,2021/10/03,2021/10/02,2021/10/01,2021/09/30,2021/09/29,2021/09/28,2021/09/27,2021/09/26,2021/09/25,2021/09/24,2021/09/23,2021/09/22,2021/09/21,2021/09/20,2021/09/19,2021/09/18,2021/09/17,2021/09/16,2021/09/15,2021/09/14,2021/09/13,2021/09/12,2021/09/11,2021/09/10,2021/09/09,2021/09/08,2021/09/07,2021/09/06,2021/09/05,2021/09/04,2021/09/03,2021/09/02,2021/09/01,2021/08/31,2021/08/30,2021/08/29,2021/08/28,2021/08/27,2021/08/26,2021/08/25,2021/08/24,2021/08/23,2021/08/22,2021/08/21,2021/08/20,2021/08/19,2021/08/18,2021/08/17,2021/08/16,2021/08/15,2021/08/14,2021/08/13,2021/08/12,2021/08/11,2021/08/10,2021/08/09,2021/08/08,2021/08/07,2021/08/06,2021/08/05,2021/08/04,2021/08/03,2021/08/02,2021/08/01,2021/07/31,2021/07/30,2021/07/29,2021/07/28,2021/07/27,2021/07/26,2021/07/25,2021/07/24,2021/07/23,2021/07/22,2021/07/21,2021/07/20,2021/07/19,2021/07/18,2021/07/17,2021/07/16,2021/07/15,2021/07/14,2021/07/13,2021/07/12,2021/07/11,2021/07/10,2021/07/09,2021/07/08,2021/07/07,2021/07/06,2021/07/05,2021/07/04,2021/07/03,2021/07/02,2021/07/01,2021/06/30,2021/06/29,2021/06/28,2021/06/27,2021/06/26,2021/06/25,2021/06/24,2021/06/23,2021/06/22,2021/06/21,2021/06/20,2021/06/19,2021/06/18,2021/06/17,2021/06/16,2021/06/15,2021/06/14,2021/06/13,2021/06/12,2021/06/11,2021/06/10,2021/06/09,2021/06/08,2021/06/07,2021/06/06,2021/06/05,2021/06/04,2021/06/03,2021/06/02,2021/06/01,2021/05/31,2021/05/30,2021/05/29,2021/05/28,2021/05/27,2021/05/26,2021/05/25,2021/05/24,2021/05/23,2021/05/22,2021/05/21,2021/05/20,2021/05/19,2021/05/18,2021/05/17,2021/05/16,2021/05/15,2021/05/14,2021/05/13,2021/05/12,2021/05/11,2021/05/10,2021/05/09,2021/05/08,2021/05/07,2021/05/06,2021/05/05,2021/05/04,2021/05/03,2021/05/02,2021/05/01,2021/04/30,2021/04/29,2021/04/28,2021/04/27,2021/04/26,2021/04/25,2021/04/24,2021/04/23,2021/04/22,2021/04/21,2021/04/20,2021/04/19,2021/04/18,2021/04/17,2021/04/16,2021/04/15,2021/04/14,2021/04/13,2021/04/12,2021/04/11,2021/04/10,2021/04/09,2021/04/08,2021/04/07,2021/04/06,2021/04/05,2021/04/04,2021/04/03,2021/04/02,2021/04/01,2021/03/31,2021/03/30,2021/03/29,2021/03/28,2021/03/27,2021/03/26,2021/03/25,2021/03/24,2021/03/23,2021/03/22,2021/03/21,2021/03/20,2021/03/19,2021/03/18,2021/03/17,2021/03/16,2021/03/15,2021/03/14,2021/03/13,2021/03/12,2021/03/11,2021/03/10,2021/03/09,2021/03/08,2021/03/07,2021/03/06,2021/03/05,2021/03/04,2021/03/03,2021/03/02,2021/03/01,2021/02/28,2021/02/27,2021/02/26,2021/02/25,2021/02/24,2021/02/23,2021/02/22,2021/02/21,2021/02/20,2021/02/19,2021/02/18,2021/02/17,2021/02/16,2021/02/15,2021/02/14,2021/02/13,2021/02/12,2021/02/11,2021/02/10,2021/02/09,2021/02/08,2021/02/07,2021/02/06,2021/02/05,2021/02/04,2021/02/03,2021/02/02,2021/02/01,2021/01/31,2021/01/30,2021/01/29,2021/01/28,2021/01/27,2021/01/26,2021/01/25,2021/01/24,2021/01/23,2021/01/22,2021/01/21,2021/01/20,2021/01/19,2021/01/18,2021/01/17,2021/01/16,2021/01/15,2021/01/14,2021/01/13,2021/01/12,2021/01/11,2021/01/10,2021/01/09,2021/01/08,2021/01/07,2021/01/06,2021/01/05,2021/01/04,2021/01/03,2021/01/02,2021/01/01,2020/12/31,2020/12/30,2020/12/29,2020/12/28,2020/12/27,2020/12/26,2020/12/25,2020/12/24,2020/12/23,2020/12/22,2020/12/21,2020/12/20,2020/12/19,2020/12/18,2020/12/17,2020/12/16,2020/12/15,2020/12/14,2020/12/13,2020/12/12,2020/12/11,2020/12/10,2020/12/09,2020/12/08,2020/12/07,2020/12/06,2020/12/05,2020/12/04,2020/12/03,2020/12/02,2020/12/01,2020/11/30,2020/11/29,2020/11/28,2020/11/27,2020/11/26,2020/11/25,2020/11/24,2020/11/23,2020/11/22,2020/11/21,2020/11/20,2020/11/19,2020/11/18,2020/11/17,2020/11/16,2020/11/15,2020/11/14,2020/11/13,2020/11/12,2020/11/11,2020/11/10,2020/11/09,2020/11/08,2020/11/07,2020/11/06,2020/11/05,2020/11/04,2020/11/03,2020/11/02,2020/11/01,2020/10/31,2020/10/30,2020/10/29,2020/10/28,2020/10/27,2020/10/26,2020/10/25,2020/10/24,2020/10/23,2020/10/22,2020/10/21,2020/10/20,2020/10/19,2020/10/18,2020/10/17,2020/10/16,2020/10/15,2020/10/14,2020/10/13,2020/10/12,2020/10/11,2020/10/10,2020/10/09,2020/10/08,2020/10/07,2020/10/06,2020/10/05,2020/10/04,2020/10/03,2020/10/02,2020/10/01,2020/09/30,2020/09/29,2020/09/28,2020/09/27,2020/09/26,2020/09/25,2020/09/24,2020/09/23,2020/09/22,2020/09/21,2020/09/20,2020/09/19,2020/09/18,2020/09/17,2020/09/16,2020/09/15,2020/09/14,2020/09/13,2020/09/12,2020/09/11,2020/09/10,2020/09/09,2020/09/08,2020/09/07,2020/09/06,2020/09/05,2020/09/04,2020/09/03,2020/09/02,2020/09/01,2020/08/31,2020/08/30,2020/08/29,2020/08/28,2020/08/27,2020/08/26,2020/08/25,2020/08/24,2020/08/23,2020/08/22,2020/08/21,2020/08/20,2020/08/19,2020/08/18,2020/08/17,2020/08/16,2020/08/15,2020/08/14,2020/08/13,2020/08/12,2020/08/11,2020/08/10,2020/08/09,2020/08/08,2020/08/07,2020/08/06,2020/08/05,2020/08/04,2020/08/03,2020/08/02,2020/08/01,2020/07/31,2020/07/30,2020/07/29,2020/07/28,2020/07/27,2020/07/26,2020/07/25,2020/07/24,2020/07/23,2020/07/22,2020/07/21,2020/07/20,2020/07/19,2020/07/18,2020/07/17,2020/07/16,2020/07/15,2020/07/14,2020/07/13,2020/07/12,2020/07/11,2020/07/10,2020/07/09,2020/07/08,2020/07/07,2020/07/06,2020/07/05,2020/07/04,2020/07/03,2020/07/02,2020/07/01,2020/06/30,2020/06/29,2020/06/28,2020/06/27,2020/06/26,2020/06/25,2020/06/24,2020/06/23,2020/06/22,2020/06/21,2020/06/20,2020/06/19,2020/06/18,2020/06/17,2020/06/16,2020/06/15,2020/06/14,2020/06/13,2020/06/12,2020/06/11,2020/06/10,2020/06/09,2020/06/08,2020/06/07,2020/06/06,2020/06/05,2020/06/04,2020/06/03,2020/06/02,2020/06/01,2020/05/31,2020/05/30,2020/05/29,2020/05/28,2020/05/27,2020/05/26,2020/05/25,2020/05/24,2020/05/23,2020/05/22,2020/05/21,2020/05/20,2020/05/19,2020/05/18,2020/05/17,2020/05/16,2020/05/15,2020/05/14,2020/05/13,2020/05/12,2020/05/11,2020/05/10,2020/05/09,2020/05/08,2020/05/07,2020/05/06,2020/05/05,2020/05/04}
@attribute CoinOpen numeric
@attribute CoinHigh numeric
@attribute CoinLow numeric
@attribute CoinClose numeric
@attribute CoinVolume numeric
@attribute CoinCap numeric

@data
0,2022/12/03,17090.1,17116.04,16888.14,16908.24,16217776704,325037180855
1,2022/12/02,16968.68,17088.66,16877.88,17088.66,19539705127,328491679165
2,2022/12/01,17168,17197.5,16888.39,16967.13,22895392882,326142124579
3,2022/11/30,16445.48,17190.94,16445.48,17168.57,29523576583,329997633644
4,2022/11/29,16217.64,16522.26,16139.4,16444.98,23581685468,316074930083
5,2022/11/28,16440.22,16482.93,16054.53,16217.32,27743025156,311686396568
6,2022/11/27,16463.88,16594.41,16437.03,16444.63,20443898509,316040534592
7,2022/11/26,16521.58,16666.86,16416.23,16464.28,18000008764,316404791285
8,2022/11/25,16602.27,16603.32,16388.4,16521.84,18678255976,317499392769
9,2022/11/24,16611.64,16771.48,16501.77,16604.47,26129037414,319074189335
10,2022/11/23,16195.59,16638.19,16170.5,16610.71,32958875628,319180537510
11,2022/11/22,15782.3,16253.05,15656.61,16189.77,30726828760,311078520949
12,2022/11/21,16291.22,16291.22,15599.05,15787.28,37429485518,303332140407
13,2022/11/20,16712.92,16746.78,16248.69,16291.83,21313378652,313012826680
14,2022/11/19,16696.22,16797.88,16570.41,16711.55,16106223492,321061621176
15,2022/11/18,16687.91,16947.06,16564.61,16697.78,26862218609,320781106963
16,2022/11/17,16670.43,16726.44,16460.68,16687.52,27868914022,320570440521
17,2022/11/16,16884.34,16960.3,16430.11,16669.44,33925512989,320208159887
18,2022/11/15,16617.48,17051.96,16542.55,16884.61,36599436183,324326299580
19,2022/11/14,16352.03,17109.32,15872.94,16618.2,49630243054,319192915033
20,2022/11/13,16799.72,16920.77,16320.64,16353.37,27209183682,314093257178
21,2022/11/12,17036.88,17066.68,16651.77,16799.18,29717699419,322642084634
22,2022/11/11,17583.25,17650.94,16543.48,17034.29,55871616488,327139766936
23,2022/11/10,15883.16,18054.31,15834.02,17586.77,83202283721,337735690620
24,2022/11/09,18543.76,18590.46,15682.69,15880.78,102905151606,304958504278
25,2022/11/08,20600.67,20664.61,17603.54,18541.27,118992465607,356030188153
26,2022/11/07,20924.62,21053.25,20489.97,20602.82,53510852236,395596352770
27,2022/11/06,21285.06,21345.38,20920.19,20926.49,35082693210,401792318391
28,2022/11/05,21144.83,21446.89,21097.64,21282.69,37846047609,408613690153
29,2022/11/04,20208.77,21209.56,20188.02,21147.23,64072727950,405992446611
30,2022/11/03,20162.69,20382.1,20086.24,20209.99,43228750179,387983112928
31,2022/11/02,20482.96,20742.81,20087.13,20159.5,55552169483,386993271474
32,2022/11/01,20494.9,20647.29,20359.85,20485.27,39819303159,393230695988
33,2022/10/31,20633.7,20795.32,20287.46,20495.77,45668466815,393413045573
34,2022/10/30,20817.98,20917.01,20547.46,20635.6,31486345556,396075135322
35,2022/10/29,20595.1,20988.39,20566.48,20818.48,40369840645,399567972100
36,2022/10/28,20287.96,20724.98,20086.07,20595.35,43994715910,395266756395
37,2022/10/27,20772.8,20854.04,20255.37,20285.84,49625110402,389306507854
38,2022/10/26,20092.24,20938.13,20076.12,20770.44,58895950537,398588922091
39,2022/10/25,19344.96,20348.41,19261.45,20095.86,47761524910,385624152242
40,2022/10/24,19567.77,19589.12,19206.32,19345.57,30202235805,371211779873
41,2022/10/23,19207.73,19646.65,19124.2,19567.01,22128794335,375444263357
42,2022/10/22,19172.38,19248.07,19132.24,19208.19,16104440957,368541303588
43,2022/10/21,19053.2,19237.39,18770.97,19172.47,32459287866,367839754255
44,2022/10/20,19138.09,19315.2,18971.46,19053.74,24493974420,365543015077
45,2022/10/19,19335.03,19348.42,19127.69,19139.53,22425387184,367171621206
46,2022/10/18,19550.47,19667,19144.77,19334.42,30580012344,370891718468
47,2022/10/17,19268.56,19635.8,19173.33,19550.76,27472552998,375024092834
48,2022/10/16,19068.91,19389.6,19068.91,19268.09,17988916650,369584293836
49,2022/10/15,19185.44,19212.54,19019.25,19067.64,16192235532,365722351005
50,2022/10/14,19382.53,19889.15,19115.41,19185.66,38452356727,367967465553
51,2022/10/13,19156.97,19453.33,18319.82,19382.9,44219840004,371731749298
52,2022/10/12,19052.65,19203.2,19029.76,19157.45,24950173846,367391447230
53,2022/10/11,19139,19241.96,18925.6,19051.42,28711532910,365340817941
54,2022/10/10,19446.42,19515.47,19102.98,19141.48,27425022774,367049182259
55,2022/10/09,19417.48,19542.54,19349.26,19446.43,16837262532,372876821416
56,2022/10/08,19546.33,19601.7,19299.41,19416.57,16437423167,372284398575
57,2022/10/07,19957.56,20041.09,19395.79,19546.85,29227315390,374761116006
58,2022/10/06,20161.04,20408.39,19900.09,19955.44,34711412966,382574032286
59,2022/10/05,20335.9,20343.75,19801.8,20160.72,33223790572,386489739243
60,2022/10/04,19623.58,20380.34,19523.84,20336.84,35887278685,389843287588
61,2022/10/03,19044.07,19653.54,19025.23,19623.58,30484729489,376151028151
62,2022/10/02,19311.85,19370.31,18970.62,19044.11,20765955327,365024821954
63,2022/10/01,19431.1,19471.15,19231.08,19312.09,18719537670,370142714487
64,2022/09/30,19573.43,20109.85,19265.66,19431.79,43975248085,372414733487
65,2022/09/29,19427.78,19589.27,18924.35,19573.05,41037843771,375100872175
66,2022/09/28,19104.62,19688.34,18553.3,19426.72,53071298734,372279603227
67,2022/09/27,19221.84,20338.46,18915.67,19110.55,58571439619,366202733264
68,2022/09/26,18803.9,19274.87,18721.29,19222.67,44148798321,368335944296
69,2022/09/25,18936.31,19134.73,18696.47,18802.1,23359966112,360259346858
70,2022/09/24,19296.99,19310.2,18861.97,18937.01,26149643168,362826506172
71,2022/09/23,19412.4,19464.67,18617.55,19297.64,38896078052,369718966325
72,2022/09/22,18534.65,19456.91,18415.59,19413.55,41135767926,371923967755
73,2022/09/21,18891.28,19674.63,18290.32,18547.4,46363793975,355314855624
74,2022/09/20,19545.59,19602.46,18813.46,18890.79,36791346508,361876433047
75,2022/09/19,19418.57,19639.48,18390.32,19544.13,40177002624,374373522207
76,2022/09/18,20127.23,20127.23,19387.49,19419.51,31254779144,371970445843
77,2022/09/17,19777.03,20162.53,19777.03,20127.58,24957448100,385513277845
78,2022/09/16,19704.01,19870.63,19400.08,19772.58,30123362273,378693173324
79,2022/09/15,20242.29,20318.17,19636.73,19701.21,36389011503,377311288517
80,2022/09/14,20184.56,20467.2,19793.4,20241.09,37872380889,387631908835
81,2022/09/13,22371.48,22673.82,20062.67,20296.71,51091116622,388682319976
82,2022/09/12,21770.15,22439.18,21603.9,22370.45,50212088965,428373958242
83,2022/09/11,21678.54,21770.55,21406.94,21769.26,34493951963,416840289162
84,2022/09/10,21376.91,21760.28,21168.72,21680.54,36913738894,415117548315
85,2022/09/09,19328.14,21439.41,19310.96,21381.15,48469528171,409363809141
86,2022/09/08,19289.94,19417.35,19076.71,19329.83,32194477850,370071738763
87,2022/09/07,18837.68,19427.17,18644.47,19290.32,35239757134,369299496559
88,2022/09/06,19817.72,20155.27,18800.17,18837.67,43403978910,360616650169
89,2022/09/05,19988.79,20031.16,19673.05,19812.37,28813460025,379258182345
90,2022/09/04,19832.47,19999.69,19636.82,19986.71,25245861652,382576542382
91,2022/09/03,19969.72,20037.01,19698.36,19832.09,23613051457,379595440557
92,2022/09/02,20126.07,20401.57,19814.77,19969.77,29123998928,382212933184
93,2022/09/01,20050.5,20198.39,19653.97,20127.14,30182031010,385208305832
94,2022/08/31,19799.58,20420.99,19799.58,20049.76,33225232872,383710102295
95,2022/08/30,20298.61,20542.64,19617.64,19796.81,34483360283,378850670474
96,2022/08/29,19615.15,20357.46,19600.79,20297.99,32637854078,388422039679
97,2022/08/28,20041.03,20139.05,19616.81,19616.81,24366810591,375367382008
98,2022/08/27,20262.48,20340.77,19890.52,20041.74,30116729776,383478483269
99,2022/08/26,21596.09,21804.91,20199.48,20260.02,42326789564,387636192941
100,2022/08/25,21395.46,21789.64,21362.44,21600.91,31028679593,413267825941
101,2022/08/24,21526.46,21783.08,21195.01,21395.02,31962253368,409308514098
102,2022/08/23,21401.05,21646.2,20955.14,21528.09,31878280659,411833237128
103,2022/08/22,21531.46,21531.46,20939.18,21398.91,31666498758,409340103013
104,2022/08/21,21160.39,21668.85,21103.2,21534.12,23102307723,411906673576
105,2022/08/20,20872.84,21350.81,20856.73,21166.06,27595671000,404848126556
106,2022/08/19,23213.31,23213.31,20868.85,20877.55,40509610260,399309311306
107,2022/08/18,23341.04,23563.83,23177.6,23212.74,23747613147,443947256036
108,2022/08/17,23881.32,24407.06,23243.35,23336,30931623076,446283604020
109,2022/08/16,24126.14,24228.42,23733.5,23883.29,27753685646,456730745423
110,2022/08/15,24318.32,25135.59,23839.77,24136.97,35123501685,461560003437
111,2022/08/14,24429.06,24974.91,24206.26,24319.33,22994133555,465024405299
112,2022/08/13,24402.19,24860.05,24346.11,24424.07,22987346289,467007252129
113,2022/08/12,23957.2,24412.57,23657.27,24402.82,27265804688,466578839478
114,2022/08/11,23948.35,24822.63,23901,23957.53,37127036580,458043109398
115,2022/08/10,23162.9,24127.41,22771.52,23947.64,32837431722,457833729142
116,2022/08/09,23811.48,23898.62,22982,23164.32,23555719219,442835162483
117,2022/08/08,23179.53,24203.69,23176.55,23809.49,28575544847,455148536624
118,2022/08/07,22963.51,23359.01,22894.56,23175.89,15886817043,443014963855
119,2022/08/06,23291.42,23326.56,22961.28,22961.28,15978259885,438890198161
120,2022/08/05,22626.83,23422.83,22612.18,23289.31,28881249043,445137234252
121,2022/08/04,22848.21,23198.01,22485.7,22630.96,25120229769,432532599007
122,2022/08/03,22981.3,23578.65,22747.84,22846.51,26288169966,436633304289
123,2022/08/02,23308.43,23415.04,22710.08,22978.12,28389250717,439128030642
124,2022/08/01,23336.72,23464.79,22890.8,23314.2,25849159141,445527356896
125,2022/07/31,23652.07,24121.64,23275.7,23336.9,23553591896,445941074223
126,2022/07/30,23796.82,24572.58,23580.51,23656.21,28148218301,452020722099
127,2022/07/29,23845.21,24294.79,23481.17,23804.63,35887249746,454837507676
128,2022/07/28,22933.64,24110.47,22722.27,23843.89,40212386158,455565748692
129,2022/07/27,21244.17,22986.53,21070.81,22930.55,31758955233,438095993233
130,2022/07/26,21361.12,21361.12,20776.82,21239.75,28624673855,405770108605
131,2022/07/25,22607.16,22649.12,21361.64,21361.7,35574561406,408078695878
132,2022/07/24,22465.51,22974,22306.84,22609.16,23565495303,431888879541
133,2022/07/23,22706.98,22977.21,22002.91,22465.48,24021799169,429122209145
134,2022/07/22,23163.75,23671.93,22603.42,22714.98,31421555646,433866028177
135,2022/07/21,23233.2,23388.32,22431.15,23164.63,33631012204,442435421339
136,2022/07/20,23393.19,24196.82,23009.95,23231.73,42932549127,443696738856
137,2022/07/19,22467.85,23666.96,21683.41,23389.43,48765202697,446690803766
138,2022/07/18,20781.91,22633.03,20781.91,22485.69,39974475562,429412153274
139,2022/07/17,21195.04,21600.64,20778.18,20779.34,22927802083,396808327005
140,2022/07/16,20834.1,21514.4,20518.9,21190.32,24302954056,404639672831
141,2022/07/15,20573.16,21138.24,20397,20836.33,25905575359,397861215081
142,2022/07/14,20211.47,20789.89,19689.26,20569.92,31158743333,392755738689
143,2022/07/13,19325.97,20223.05,18999.95,20212.07,33042430345,385908229968
144,2022/07/12,19970.48,20043.45,19308.53,19323.91,25810220018,368936762201
145,2022/07/11,20856.35,20856.35,19924.54,19970.56,24150249025,381264246558
146,2022/07/10,21591.08,21591.08,20727.12,20860.45,28688807249,398237577323
147,2022/07/09,21716.83,21877.14,21445.96,21592.21,29641127858,412185216768
148,2022/07/08,21637.16,22314.94,21257.45,21731.12,49899834488,414819851681
149,2022/07/07,20547.81,21771.82,20296.1,21637.59,25814972520,413013947459
150,2022/07/06,20194.62,20595.53,19823.51,20548.25,24598943708,392200896305
151,2022/07/05,20225.35,20635.47,19341.23,20190.11,26715546990,385349780370
152,2022/07/04,19297.31,20258.75,19063.07,20231.26,21594638208,386119553712
153,2022/07/03,19242.09,19558.27,18966.95,19297.08,16390821947,368272636368
154,2022/07/02,19274.84,19371.75,19027.08,19242.26,18100418740,367208487557
155,2022/07/01,19820.47,20632.67,19073.71,19269.37,30767551159,367709366219
156,2022/06/30,20108.31,20141.16,18729.66,19784.73,26267239923,377526215552
157,2022/06/29,20281.17,20364.16,19937.79,20104.02,23552740328,383598071095
158,2022/06/28,20731.54,21164.42,20228.81,20280.64,21381535161,386949194398
159,2022/06/27,21028.24,21478.09,20620.2,20735.48,20965695707,395606854741
160,2022/06/26,21496.49,21783.72,21016.27,21027.3,18027170497,401157940864
161,2022/06/25,21233.61,21520.91,20964.59,21502.34,18372538715,410202265385
162,2022/06/24,21084.65,21472.92,20777.51,21231.66,24957784918,405018505024
163,2022/06/23,19986.61,21135.76,19950.12,21085.88,26188097173,402219959761
164,2022/06/22,20719.41,20835.75,19848.08,19987.03,28574793478,381240087224
165,2022/06/21,20594.29,21620.63,20415.06,20710.6,28970212744,395025644880
166,2022/06/20,20553.37,20913.32,19689.17,20599.54,30818458597,392888024959
167,2022/06/19,19010.9,20683.82,18067.15,20553.27,35329942625,391988917194
168,2022/06/18,20473.42,20736.04,17708.62,19017.64,42009436760,362685324229
169,2022/06/17,20385.72,21243.31,20326.52,20471.48,27132421514,390391528176
170,2022/06/16,22576.31,22868.92,20265.23,20381.65,31183975654,388664840557
171,2022/06/15,22196.73,22642.67,20178.38,22572.84,54912007015,430432160006
