,CoinDate,CoinOpen,CoinHigh,CoinLow,CoinClose,CoinVolume,CoinCap
0,"Dec 03, 2022","$17,090.10","$17,116.04","$16,888.14","$16,908.24","$16,217,776,704","$325,037,180,855"
1,"Dec 02, 2022","$16,968.68","$17,088.66","$16,877.88","$17,088.66","$19,539,705,127","$328,491,679,165"
2,"Dec 01, 2022","$17,168.00","$17,197.50","$16,888.39","$16,967.13","$22,895,392,882","$326,142,124,579"
3,"Nov 30, 2022","$16,445.48","$17,190.94","$16,445.48","$17,168.57","$29,523,576,583","$329,997,633,644"
4,"Nov 29, 2022","$16,217.64","$16,522.26","$16,139.40","$16,444.98","$23,581,685,468","$316,074,930,083"
5,"Nov 28, 2022","$16,440.22","$16,482.93","$16,054.53","$16,217.32","$27,743,025,156","$311,686,396,568"
6,"Nov 27, 2022","$16,463.88","$16,594.41","$16,437.03","$16,444.63","$20,443,898,509","$316,040,534,592"
7,"Nov 26, 2022","$16,521.58","$16,666.86","$16,416.23","$16,464.28","$18,000,008,764","$316,404,791,285"
8,"Nov 25, 2022","$16,602.27","$16,603.32","$16,388.40","$16,521.84","$18,678,255,976","$317,499,392,769"
9,"Nov 24, 2022","$16,611.64","$16,771.48","$16,501.77","$16,604.47","$26,129,037,414","$319,074,189,335"
10,"Nov 23, 2022","$16,195.59","$16,638.19","$16,170.50","$16,610.71","$32,958,875,628","$319,180,537,510"
11,"Nov 22, 2022","$15,782.30","$16,253.05","$15,656.61","$16,189.77","$30,726,828,760","$311,078,520,949"
12,"Nov 21, 2022","$16,291.22","$16,291.22","$15,599.05","$15,787.28","$37,429,485,518","$303,332,140,407"
13,"Nov 20, 2022","$16,712.92","$16,746.78","$16,248.69","$16,291.83","$21,313,378,652","$313,012,826,680"
14,"Nov 19, 2022","$16,696.22","$16,797.88","$16,570.41","$16,711.55","$16,106,223,492","$321,061,621,176"
15,"Nov 18, 2022","$16,687.91","$16,947.06","$16,564.61","$16,697.78","$26,862,218,609","$320,781,106,963"
16,"Nov 17, 2022","$16,670.43","$16,726.44","$16,460.68","$16,687.52","$27,868,914,022","$320,570,440,521"
17,"Nov 16, 2022","$16,884.34","$16,960.30","$16,430.11","$16,669.44","$33,925,512,989","$320,208,159,887"
18,"Nov 15, 2022","$16,617.48","$17,051.96","$16,542.55","$16,884.61","$36,599,436,183","$324,326,299,580"
19,"Nov 14, 2022","$16,352.03","$17,109.32","$15,872.94","$16,618.20","$49,630,243,054","$319,192,915,033"
20,"Nov 13, 2022","$16,799.72","$16,920.77","$16,320.64","$16,353.37","$27,209,183,682","$314,093,257,178"
21,"Nov 12, 2022","$17,036.88","$17,066.68","$16,651.77","$16,799.18","$29,717,699,419","$322,642,084,634"
22,"Nov 11, 2022","$17,583.25","$17,650.94","$16,543.48","$17,034.29","$55,871,616,488","$327,139,766,936"
23,"Nov 10, 2022","$15,883.16","$18,054.31","$15,834.02","$17,586.77","$83,202,283,721","$337,735,690,620"
24,"Nov 09, 2022","$18,543.76","$18,590.46","$15,682.69","$15,880.78","$102,905,151,606","$304,958,504,278"
25,"Nov 08, 2022","$20,600.67","$20,664.61","$17,603.54","$18,541.27","$118,992,465,607","$356,030,188,153"
26,"Nov 07, 2022","$20,924.62","$21,053.25","$20,489.97","$20,602.82","$53,510,852,236","$395,596,352,770"
27,"Nov 06, 2022","$21,285.06","$21,345.38","$20,920.19","$20,926.49","$35,082,693,210","$401,792,318,391"
28,"Nov 05, 2022","$21,144.83","$21,446.89","$21,097.64","$21,282.69","$37,846,047,609","$408,613,690,153"
29,"Nov 04, 2022","$20,208.77","$21,209.56","$20,188.02","$21,147.23","$64,072,727,950","$405,992,446,611"
30,"Nov 03, 2022","$20,162.69","$20,382.10","$20,086.24","$20,209.99","$43,228,750,179","$387,983,112,928"
31,"Nov 02, 2022","$20,482.96","$20,742.81","$20,087.13","$20,159.50","$55,552,169,483","$386,993,271,474"
32,"Nov 01, 2022","$20,494.90","$20,647.29","$20,359.85","$20,485.27","$39,819,303,159","$393,230,695,988"
33,"Oct 31, 2022","$20,633.70","$20,795.32","$20,287.46","$20,495.77","$45,668,466,815","$393,413,045,573"
34,"Oct 30, 2022","$20,817.98","$20,917.01","$20,547.46","$20,635.60","$31,486,345,556","$396,075,135,322"
35,"Oct 29, 2022","$20,595.10","$20,988.39","$20,566.48","$20,818.48","$40,369,840,645","$399,567,972,100"
36,"Oct 28, 2022","$20,287.96","$20,724.98","$20,086.07","$20,595.35","$43,994,715,910","$395,266,756,395"
37,"Oct 27, 2022","$20,772.80","$20,854.04","$20,255.37","$20,285.84","$49,625,110,402","$389,306,507,854"
38,"Oct 26, 2022","$20,092.24","$20,938.13","$20,076.12","$20,770.44","$58,895,950,537","$398,588,922,091"
39,"Oct 25, 2022","$19,344.96","$20,348.41","$19,261.45","$20,095.86","$47,761,524,910","$385,624,152,242"
40,"Oct 24, 2022","$19,567.77","$19,589.12","$19,206.32","$19,345.57","$30,202,235,805","$371,211,779,873"
41,"Oct 23, 2022","$19,207.73","$19,646.65","$19,124.20","$19,567.01","$22,128,794,335","$375,444,263,357"
42,"Oct 22, 2022","$19,172.38","$19,248.07","$19,132.24","$19,208.19","$16,104,440,957","$368,541,303,588"
43,"Oct 21, 2022","$19,053.20","$19,237.39","$18,770.97","$19,172.47","$32,459,287,866","$367,839,754,255"
44,"Oct 20, 2022","$19,138.09","$19,315.20","$18,971.46","$19,053.74","$24,493,974,420","$365,543,015,077"
45,"Oct 19, 2022","$19,335.03","$19,348.42","$19,127.69","$19,139.53","$22,425,387,184","$367,171,621,206"
46,"Oct 18, 2022","$19,550.47","$19,667.00","$19,144.77","$19,334.42","$30,580,012,344","$370,891,718,468"
47,"Oct 17, 2022","$19,268.56","$19,635.80","$19,173.33","$19,550.76","$27,472,552,998","$375,024,092,834"
48,"Oct 16, 2022","$19,068.91","$19,389.60","$19,068.91","$19,268.09","$17,988,916,650","$369,584,293,836"
49,"Oct 15, 2022","$19,185.44","$19,212.54","$19,019.25","$19,067.64","$16,192,235,532","$365,722,351,005"
50,"Oct 14, 2022","$19,382.53","$19,889.15","$19,115.41","$19,185.66","$38,452,356,727","$367,967,465,553"
51,"Oct 13, 2022","$19,156.97","$19,453.33","$18,319.82","$19,382.90","$44,219,840,004","$371,731,749,298"
52,"Oct 12, 2022","$19,052.65","$19,203.20","$19,029.76","$19,157.45","$24,950,173,846","$367,391,447,230"
53,"Oct 11, 2022","$19,139.00","$19,241.96","$18,925.60","$19,051.42","$28,711,532,910","$365,340,817,941"
54,"Oct 10, 2022","$19,446.42","$19,515.47","$19,102.98","$19,141.48","$27,425,022,774","$367,049,182,259"
55,"Oct 09, 2022","$19,417.48","$19,542.54","$19,349.26","$19,446.43","$16,837,262,532","$372,876,821,416"
56,"Oct 08, 2022","$19,546.33","$19,601.70","$19,299.41","$19,416.57","$16,437,423,167","$372,284,398,575"
57,"Oct 07, 2022","$19,957.56","$20,041.09","$19,395.79","$19,546.85","$29,227,315,390","$374,761,116,006"
58,"Oct 06, 2022","$20,161.04","$20,408.39","$19,900.09","$19,955.44","$34,711,412,966","$382,574,032,286"
59,"Oct 05, 2022","$20,335.90","$20,343.75","$19,801.80","$20,160.72","$33,223,790,572","$386,489,739,243"
60,"Oct 04, 2022","$19,623.58","$20,380.34","$19,523.84","$20,336.84","$35,887,278,685","$389,843,287,588"
61,"Oct 03, 2022","$19,044.07","$19,653.54","$19,025.23","$19,623.58","$30,484,729,489","$376,151,028,151"
62,"Oct 02, 2022","$19,311.85","$19,370.31","$18,970.62","$19,044.11","$20,765,955,327","$365,024,821,954"
63,"Oct 01, 2022","$19,431.10","$19,471.15","$19,231.08","$19,312.09","$18,719,537,670","$370,142,714,487"
64,"Sep 30, 2022","$19,573.43","$20,109.85","$19,265.66","$19,431.79","$43,975,248,085","$372,414,733,487"
65,"Sep 29, 2022","$19,427.78","$19,589.27","$18,924.35","$19,573.05","$41,037,843,771","$375,100,872,175"
66,"Sep 28, 2022","$19,104.62","$19,688.34","$18,553.30","$19,426.72","$53,071,298,734","$372,279,603,227"
67,"Sep 27, 2022","$19,221.84","$20,338.46","$18,915.67","$19,110.55","$58,571,439,619","$366,202,733,264"
68,"Sep 26, 2022","$18,803.90","$19,274.87","$18,721.29","$19,222.67","$44,148,798,321","$368,335,944,296"
69,"Sep 25, 2022","$18,936.31","$19,134.73","$18,696.47","$18,802.10","$23,359,966,112","$360,259,346,858"
70,"Sep 24, 2022","$19,296.99","$19,310.20","$18,861.97","$18,937.01","$26,149,643,168","$362,826,506,172"
71,"Sep 23, 2022","$19,412.40","$19,464.67","$18,617.55","$19,297.64","$38,896,078,052","$369,718,966,325"
72,"Sep 22, 2022","$18,534.65","$19,456.91","$18,415.59","$19,413.55","$41,135,767,926","$371,923,967,755"
73,"Sep 21, 2022","$18,891.28","$19,674.63","$18,290.32","$18,547.40","$46,363,793,975","$355,314,855,624"
74,"Sep 20, 2022","$19,545.59","$19,602.46","$18,813.46","$18,890.79","$36,791,346,508","$361,876,433,047"
75,"Sep 19, 2022","$19,418.57","$19,639.48","$18,390.32","$19,544.13","$40,177,002,624","$374,373,522,207"
76,"Sep 18, 2022","$20,127.23","$20,127.23","$19,387.49","$19,419.51","$31,254,779,144","$371,970,445,843"
77,"Sep 17, 2022","$19,777.03","$20,162.53","$19,777.03","$20,127.58","$24,957,448,100","$385,513,277,845"
78,"Sep 16, 2022","$19,704.01","$19,870.63","$19,400.08","$19,772.58","$30,123,362,273","$378,693,173,324"
79,"Sep 15, 2022","$20,242.29","$20,318.17","$19,636.73","$19,701.21","$36,389,011,503","$377,311,288,517"
80,"Sep 14, 2022","$20,184.56","$20,467.20","$19,793.40","$20,241.09","$37,872,380,889","$387,631,908,835"
81,"Sep 13, 2022","$22,371.48","$22,673.82","$20,062.67","$20,296.71","$51,091,116,622","$388,682,319,976"
82,"Sep 12, 2022","$21,770.15","$22,439.18","$21,603.90","$22,370.45","$50,212,088,965","$428,373,958,242"
83,"Sep 11, 2022","$21,678.54","$21,770.55","$21,406.94","$21,769.26","$34,493,951,963","$416,840,289,162"
84,"Sep 10, 2022","$21,376.91","$21,760.28","$21,168.72","$21,680.54","$36,913,738,894","$415,117,548,315"
85,"Sep 09, 2022","$19,328.14","$21,439.41","$19,310.96","$21,381.15","$48,469,528,171","$409,363,809,141"
86,"Sep 08, 2022","$19,289.94","$19,417.35","$19,076.71","$19,329.83","$32,194,477,850","$370,071,738,763"
87,"Sep 07, 2022","$18,837.68","$19,427.17","$18,644.47","$19,290.32","$35,239,757,134","$369,299,496,559"
88,"Sep 06, 2022","$19,817.72","$20,155.27","$18,800.17","$18,837.67","$43,403,978,910","$360,616,650,169"
89,"Sep 05, 2022","$19,988.79","$20,031.16","$19,673.05","$19,812.37","$28,813,460,025","$379,258,182,345"
90,"Sep 04, 2022","$19,832.47","$19,999.69","$19,636.82","$19,986.71","$25,245,861,652","$382,576,542,382"
91,"Sep 03, 2022","$19,969.72","$20,037.01","$19,698.36","$19,832.09","$23,613,051,457","$379,595,440,557"
92,"Sep 02, 2022","$20,126.07","$20,401.57","$19,814.77","$19,969.77","$29,123,998,928","$382,212,933,184"
93,"Sep 01, 2022","$20,050.50","$20,198.39","$19,653.97","$20,127.14","$30,182,031,010","$385,208,305,832"
94,"Aug 31, 2022","$19,799.58","$20,420.99","$19,799.58","$20,049.76","$33,225,232,872","$383,710,102,295"
95,"Aug 30, 2022","$20,298.61","$20,542.64","$19,617.64","$19,796.81","$34,483,360,283","$378,850,670,474"
96,"Aug 29, 2022","$19,615.15","$20,357.46","$19,600.79","$20,297.99","$32,637,854,078","$388,422,039,679"
97,"Aug 28, 2022","$20,041.03","$20,139.05","$19,616.81","$19,616.81","$24,366,810,591","$375,367,382,008"
98,"Aug 27, 2022","$20,262.48","$20,340.77","$19,890.52","$20,041.74","$30,116,729,776","$383,478,483,269"
99,"Aug 26, 2022","$21,596.09","$21,804.91","$20,199.48","$20,260.02","$42,326,789,564","$387,636,192,941"
100,"Aug 25, 2022","$21,395.46","$21,789.64","$21,362.44","$21,600.91","$31,028,679,593","$413,267,825,941"
101,"Aug 24, 2022","$21,526.46","$21,783.08","$21,195.01","$21,395.02","$31,962,253,368","$409,308,514,098"
102,"Aug 23, 2022","$21,401.05","$21,646.20","$20,955.14","$21,528.09","$31,878,280,659","$411,833,237,128"
103,"Aug 22, 2022","$21,531.46","$21,531.46","$20,939.18","$21,398.91","$31,666,498,758","$409,340,103,013"
104,"Aug 21, 2022","$21,160.39","$21,668.85","$21,103.20","$21,534.12","$23,102,307,723","$411,906,673,576"
105,"Aug 20, 2022","$20,872.84","$21,350.81","$20,856.73","$21,166.06","$27,595,671,000","$404,848,126,556"
106,"Aug 19, 2022","$23,213.31","$23,213.31","$20,868.85","$20,877.55","$40,509,610,260","$399,309,311,306"
107,"Aug 18, 2022","$23,341.04","$23,563.83","$23,177.60","$23,212.74","$23,747,613,147","$443,947,256,036"
108,"Aug 17, 2022","$23,881.32","$24,407.06","$23,243.35","$23,336.00","$30,931,623,076","$446,283,604,020"
109,"Aug 16, 2022","$24,126.14","$24,228.42","$23,733.50","$23,883.29","$27,753,685,646","$456,730,745,423"
110,"Aug 15, 2022","$24,318.32","$25,135.59","$23,839.77","$24,136.97","$35,123,501,685","$461,560,003,437"
111,"Aug 14, 2022","$24,429.06","$24,974.91","$24,206.26","$24,319.33","$22,994,133,555","$465,024,405,299"
112,"Aug 13, 2022","$24,402.19","$24,860.05","$24,346.11","$24,424.07","$22,987,346,289","$467,007,252,129"
113,"Aug 12, 2022","$23,957.20","$24,412.57","$23,657.27","$24,402.82","$27,265,804,688","$466,578,839,478"
114,"Aug 11, 2022","$23,948.35","$24,822.63","$23,901.00","$23,957.53","$37,127,036,580","$458,043,109,398"
115,"Aug 10, 2022","$23,162.90","$24,127.41","$22,771.52","$23,947.64","$32,837,431,722","$457,833,729,142"
116,"Aug 09, 2022","$23,811.48","$23,898.62","$22,982.00","$23,164.32","$23,555,719,219","$442,835,162,483"
117,"Aug 08, 2022","$23,179.53","$24,203.69","$23,176.55","$23,809.49","$28,575,544,847","$455,148,536,624"
118,"Aug 07, 2022","$22,963.51","$23,359.01","$22,894.56","$23,175.89","$15,886,817,043","$443,014,963,855"
119,"Aug 06, 2022","$23,291.42","$23,326.56","$22,961.28","$22,961.28","$15,978,259,885","$438,890,198,161"
