,Cion,Market_Cap,Open,Date,High,Low,Volume,Close
0,Bitcoin,3906064342351.5913,215220.8035144636,2020-01-01,216636.0750464465,214624.104435527,555354737048.9308,215386.0095842499
1,Bitcoin,4374369741670.686,244678.0037408283,2020-01-11,246361.7458634421,240704.5814700171,765047965764.1783,240941.2583016594
2,Bitcoin,4757472493233.868,259172.2650989713,2020-01-21,263117.7298917799,256762.8310549079,721259833482.8446,262892.8514424112
3,Bitcoin,5188715004450.4375,283764.763931867,2020-02-01,286587.2956828518,282759.2429153342,787037773880.6661,285177.0890602958
4,Bitcoin,5585508071521.52,296100.5644564603,2020-02-11,306444.5403900808,292016.2768633374,1131060685862.4075,305879.5913216079
5,Bitcoin,5356245536446.242,294525.660919952,2020-02-22,294845.622605094,291881.3565431552,1089547640739.8362,293780.0539752905
6,Bitcoin,4784562620378.048,264472.2360372256,2020-03-03,266015.3572464476,260083.3562127799,1264480421585.4443,262728.4516678564
7,Bitcoin,2860663568878.565,167791.4353329236,2020-03-14,169361.507004406,154303.0253723295,1088521789623.3606,156570.0272909716
8,Bitcoin,3722668635790.146,194573.2646476515,2020-03-24,204997.9288804642,194470.0860463017,1457700137711.385,203121.6685487645
9,Bitcoin,3802184680346.9697,203802.3944299194,2020-04-04,208053.9491401147,202535.1787891043,1003710224717.1592,207708.3636712104
10,Bitcoin,3774074119424.268,205975.9381944854,2020-04-14,209320.3598674774,204096.5866533073,1026689954527.0215,205519.1632320947
11,Bitcoin,4161317040514.4404,223345.1239319051,2020-04-24,227930.2810155337,223345.1239319051,1040585193840.7319,227229.2646130342
12,Bitcoin,4929222820841.056,265727.1780271845,2020-05-05,269991.9858872449,264154.8787630533,1286428265839.6653,268867.6968090162
13,Bitcoin,5124403692429.492,290967.6855629975,2020-05-15,291738.2954083783,277489.9976056133,1439514760366.6445,279556.7426794803
14,Bitcoin,4881975832866.12,267759.7991695696,2020-05-26,269678.1010563705,262587.4547081423,889093599903.0609,264963.2412912929
15,Bitcoin,5309197881389.377,292636.3843783361,2020-06-05,294009.5020332978,287103.8109289557,702002189791.6948,286960.002974996
16,Bitcoin,5205295950415.975,280309.5453996733,2020-06-16,283776.2557013705,278448.7015024452,639396612705.392,282915.9251880491
17,Bitcoin,4980233061477.561,273329.0247684131,2020-06-26,274781.2606782375,268956.3621551568,541330059384.3385,270640.5158064105
18,Bitcoin,5015477841316.932,275041.0992923319,2020-07-07,275206.8182831441,271108.4948804374,407145957911.8609,272803.4114535894
19,Bitcoin,4956374603846.738,268274.358826425,2020-07-17,269756.248693859,268081.4908896467,409663571589.65204,269682.3779096567
20,Bitcoin,5973335398177.374,291867.160952365,2020-07-27,332441.1366399743,291412.425855428,1041910416782.2412,322065.5522434661
21,Bitcoin,6291139156331.15,346115.7411517544,2020-08-07,349808.2545976701,335732.1168971694,679729134213.5996,341506.7515633229
22,Bitcoin,6651416593230.091,349696.6515734585,2020-08-17,363313.0197501628,347335.2828134424,829809315525.9304,359752.4768219629
23,Bitcoin,6254276755959.066,332181.1241302619,2020-08-28,338840.720932353,332694.8982314726,580960898363.555,338749.2821728882
24,Bitcoin,5623030513136.048,301634.1789420586,2020-09-07,304991.5505235896,290985.6019592345,988815170527.5449,304113.3805437917
25,Bitcoin,5897498284896.3,319103.1908978697,2020-09-18,320321.3224618405,314409.8455733503,767524080637.0979,317611.8800465902
26,Bitcoin,5799335192680.884,315396.9852761884,2020-09-28,318673.7824236206,311632.0670160702,1397852406340.6545,311810.4523063998
27,Bitcoin,5866196977386.787,312972.1587068748,2020-10-09,317736.2420402676,310572.4232289261,652959911494.3252,316614.9862373596
28,Bitcoin,6260666276229.22,330907.6686332634,2020-10-19,339227.80501047,328108.127934447,686880007770.1821,337270.0556800434
29,Bitcoin,7118153781008.545,379393.2595530471,2020-10-29,389580.8978488901,371229.6824651067,1615179444766.074,381375.2025587135
