,CionScore,CoinDate
0,-0.22440924644470214,2014-10-01
1,0.16243941254085964,2014-10-02
2,-0.13624915054866246,2014-10-03
3,-0.13624915054866246,2014-10-04
4,-0.13624915054866246,2014-10-05
5,-0.16556625366210936,2014-10-06
6,-0.10643524676561356,2014-10-07
7,-0.08014675974845886,2014-10-08
8,0.1592235565185547,2014-10-09
9,-0.011568605899810791,2014-10-10
10,0.0,2014-10-11
11,0.0,2014-10-12
12,-0.08443266153335571,2014-10-13
13,0.0,2014-10-14
14,0.0,2014-10-15
15,-0.13104239106178284,2014-10-16
16,-0.27184419121061054,2014-10-17
17,-0.32828488945961,2014-10-18
18,-0.23952963948249817,2014-10-19
19,-0.0263991289668613,2014-10-20
20,-0.051552232106526694,2014-10-21
21,0.24724912643432617,2014-10-22
22,0.0,2014-10-23
23,-0.0014503359794616698,2014-10-24
24,0.0,2014-10-25
25,-0.29402609666188556,2014-10-26
26,-0.24271215498447418,2014-10-27
27,0.09628453424998693,2014-10-28
28,0.09371146890852186,2014-10-29
29,0.08174756666024525,2014-10-30
30,-0.13032550471169607,2014-10-31
31,0.0,2014-11-01
32,0.0,2014-11-02
33,5.102819866604275e-05,2014-11-03
34,0.0,2014-11-04
35,0.0,2014-11-05
36,-0.21013694008191428,2014-11-06
37,-0.02676554520924886,2014-11-07
38,-0.02676554520924886,2014-11-08
39,-0.02676554520924886,2014-11-09
40,-0.12734952569007874,2014-11-10
41,0.0,2014-11-11
42,-0.033124795981815884,2014-11-12
43,0.0,2014-11-13
44,-0.11932326214654106,2014-11-14
45,0.20685996611913046,2014-11-15
46,0.0,2014-11-16
47,0.02645535554204668,2014-11-17
48,0.0,2014-11-18
49,0.0,2014-11-19
50,-0.2211766242980957,2014-11-20
51,-0.21347232375826156,2014-11-21
52,0.0,2014-11-22
53,0.0,2014-11-23
54,-0.25137961827791655,2014-11-24
55,0.0,2014-11-25
56,0.0,2014-11-26
57,0.0,2014-11-27
58,-0.13474036753177643,2014-11-28
59,0.0,2014-11-29
60,0.0,2014-11-30
61,-0.20968509912490846,2014-12-01
62,0.04143986105918884,2014-12-02
63,-0.13766202756336757,2014-12-03
64,-0.18751726299524307,2014-12-04
65,0.0,2014-12-05
66,0.0,2014-12-06
67,0.0,2014-12-07
68,-0.0645391583442688,2014-12-08
69,-0.16445119040352957,2014-12-09
70,-0.29793773889541625,2014-12-10
71,-0.03792216628789902,2014-12-11
72,0.0,2014-12-12
73,0.0,2014-12-13
74,0.0,2014-12-14
75,-0.26758034030596417,2014-12-15
76,-0.26758034030596417,2014-12-16
77,-0.26758034030596417,2014-12-17
78,-0.2634296913941701,2014-12-18
79,0.0,2014-12-19
80,0.0,2014-12-20
81,0.0,2014-12-21
82,0.26724761724472046,2014-12-22
83,0.0,2014-12-23
84,0.0,2014-12-24
85,0.0,2014-12-25
86,-0.4700401822725932,2014-12-26
87,-0.32061223189036053,2014-12-27
88,0.0,2014-12-28
89,-0.3095948000748952,2014-12-29
90,0.10585391521453857,2014-12-30
91,-0.17894163727760315,2014-12-31
