,CoinText,CoinDate
3600,"Ransomware attackers are growing more dangerous, more sophisticated and sharply more profitable in extracting crypto from their victims, according to on-chain data reviewed by Chainalysis.In a new report, the blockchain analytics firm said ransomware-linked addresses have banked at least $81 million in crypto this year after amassing a record $406 million in 2020. Chainalysis suspects the true toll is far higher. New addresses frequently pop up, and victim corporations often keep their ransomware run-ins under wraps.Just last week Colonial Pipeline suffered a debilitating ransomware attack that forced it to freeze a critical oil and gas artery for the U.S. eastern seaboard. Colonial ultimately paid the group, which was using DarkSide ransomware, $5 million in crypto to unlock its network, according to reports.Chainalysis said the prevalence of ransomware-as-a-service (RaaS) is contributing to the blistering spread of corporate cyber attacks. Under RaaS, ransomware developers essentially license out their software strains and share in their affiliates’ profits. DarkSide generated the vast majority of RaaS revenue through Q1, the report said. Ransomware payouts are also steadily growing. Victims paid an average of $54,000 in Q1, compared to $46,000 in Q4 2020 and just $12,000 average in Q4 2019. There tends to be at least one $10 million ransom paid a quarter, but groups have demanded as much as $50 million.Cryptocurrencies, especially bitcoin, the top ransomware payout, is inherently traceable because of its public blockchain, allowing Chainalysis to follow the money. It said ransomware addresses spread over 9% of victim funds across fraud shops, hacking tool service providers and even professional negotiator services last quarter to support their extortion efforts. Just 3% of the crypto flowed that way in Q1 2020.But the vast majority of last quarter’s ransomware payouts, over 75%, ended up on crypto exchanges, Chainalysis said. Likewise, the vast majority of ransomware strains appear to emanate from Russia’s sphere of influence. Russian-affiliated cybercriminals “have been among the most prolific in the world,” Chainalysis said, especially in crypto crime. They account for a “larger share” of ransomware activity in 2021.The most profitable ransomware strains of 2021 are hard coded to avoid Russian-speaking victims, Chainalysis said. It estimated Russia-linked strains have taken in 92% of this year’s ransomware proceeds, compared to 86% last year. Law enforcement entities may be targeting ransomware proprietors. On Friday, BleepingComputer reported that federal officials had seized the servers belonging to DarkSide, and the group's crypto appears to have been sent to another wallet.",2021-05-14
3601,"New ways of making money have often generated new approaches to giving it away. With cryptocurrencies now worth more than all the U.S. dollars in circulation, holders face a crucial  question: what kind of donors do they want to be? The rise of cryptocurrencies has forced the finance industry and the world at large to re-examine assumptions on transparency, efficiency and power distribution. And so, crypto donors have an exciting opportunity to not only grapple with the decision of “how much” but also “how.” How, in other words, can they add both to the pool of available resources and ensure it’s better spent?For better or worse, new sources of wealth often change how philanthropy works. John D. Rockefeller, America’s first billionaire, built its first modern foundation. Rockefeller had more money than he could give away himself and set up an entity to give according to a broad mandate long after his death. His peers – Carnegie, Mellon, Ford – soon followed and a new philanthropic tool was born.  Decades later, the personal computing revolution spurred Bill & Melinda Gates to position their foundation as a uniquely influential private player in the public health space. And in the years that followed, wealth from internet companies like Facebook drove the growth of effective altruism (or evidence-based philanthropy), as well as the expanded use of new legal structures like donor-advised funds or L.L.C.s.Crypto donors have already begun to make their mark. In 2018, a person (or persons) calling themselves Pine gave 5,104 bitcoin to 60 charities entirely anonymously. FTX is the world’s only trading platform, crypto or otherwise, that was founded explicitly, “with the goal of donating to the world’s most effective charities.” It donates 1% of its net fees (in 2020, its founder was baffled to find himself then-candidate Joe Biden’s second largest donor).New structures for giving have also developed. GitCoin uses quadratic funding to crowdsource and match funding for public goods in the Ethereum space. And nonprofit Noora Health issued an NFT promising the purchaser a digital claim to the impact achieved through the NFT’s purchase price. This is just the beginning. In a conversation with economist Tyler Cowen, Coinbase CEO Brian Armstrong said if Bitcoin’s price reaches $200,000, half of the world’s billionaires would be crypto billionaires.So how can crypto donors do the most good? First, they can join pioneers like Open Philanthropy Project in helping make altruism more effective. Too much giving still turns on anecdotes versus data. And more of those controlling the purse strings must ask the difficult questions about evidence and impact. As the Managing Director of a nonprofit called GiveDirectly, I believe charities have much to learn from the transparency, efficiency, and decentralized power at the heart of crypto’s potential. The status quo aid model requires donor money to move through a complex web of multinational and local organizations before reaching its end-destination. Both dollars and information are often eroded along the way, and the end-user is too often deemed a passive recipient of goods or services, instead of an active agent of resource allocation.  One alternative is to simply give people money. At GiveDirectly, we have delivered over $380 million to hundreds of thousands of people, including residents in urban slums, refugees, and survivors of natural disasters across 10 countries. Direct cash transfers are not a silver bullet, but they’re evidence-backed, efficient, and have been increasingly adopted as an industry benchmark. Cutting out the middlemen in aid has resonated within the crypto community. People like Jack Dorsey, Elon Musk, Vitalik Buterin have joined Pine and thousands of others in sending more than $25 million in cryptocurrencies to people in need through GiveDirectly. Cryptocurrencies or blockchain technology broadly could also help improve the implementation of giving itself better. Smart contracts could implement new approaches to results-based financing, public ledgers could open up new standards in transparent aid, or digital currencies could offer ways to distribute aid despite capital controls or inadequate fiat currencies. Of course, realizing these possibilities will require building with the world’s poorest people in mind (and investing more in those who are already doing so).While crypto donors have important decisions to make about how and where to give, the work begins further upstream within the industry itself. As Teddy Roosevelt remarked about the industrialists’ new foundations, ""No amount of charities in spending such fortunes can compensate in any way for the misconduct in acquiring them."" For cryptocurrency, that may mean tackling carbon footprints, rooting out the scams that prey on its most vulnerable community members, collaborating productively with regulators and tax authorities, or ensuring tomorrow’s financial system includes more diverse perspectives than today’s. Still, if the giving often looks like the earning, there’s a lot to be hopeful about in the rise of crypto-philanthropy. Let’s make sure it delivers on that potential.",2021-05-14
3602,"Bitcoin (BTC) tanked on Wednesday, hitting multi-month lows near $46,000 as renewed fears of an early rate hike by the Federal Reserve, the recent dour mood in financial markets and Tesla's decision to suspend bitcoin payments were all blamed for the slide. But the downward move was likely aggravated by options market makers selling the cryptocurrency in the spot/futures market to hedge their books (offset bullish exposure), according to Fredrick Collins, a seasoned options trader and researcher at Glassnode. ""Market makers were heavily short puts in the range of $52,000 to $50,000, and I estimate were forced to sell nearly 2,900 bitcoin during the crash to offset the short gamma exposure,"" Collins told CoinDesk in a Twitter chat. ""That likely exacerbated the bearish move.""The episode shows how the growing trade in cryptocurrency options in recent months has become a force to reckon with for participants in the underlying spot market for bitcoin, with monthly expiries proving to be a catalyst for price volatility. According to data source Skew, the options market has exploded in the past 12 months, with the open interest rising from $50 million to over $10 billion. Options market makers are individuals or entities with a contractual obligation to maintain a healthy level of liquidity on an exchange. They make sure there is enough depth in the order book by offering to buy or sell a call/put option contract at any given point in time. For example, if a trader wants to buy a bitcoin call at the strike of $80,000 right now, and there is no matching sell order, the market maker will step in to sell the $80,000 call, facilitating the transaction. A call option gives the holder the right but not the obligation to buy the underlying asset at a predetermined price on or before a specific date, called expiry. A put option gives the right to sell. Thus, market makers always take the opposite side of investors' trades and maintain a market-neutral portfolio by buying and selling the underlying asset as the price swings. This act of balancing books is known as ""gamma hedging"" in options parlance. Gamma refers to the speed of change in delta - sensitivity of the option's price to changes in the price of the underlying asset. In other words, gamma measures the rate of change in the option's price relative to changes in the spot market prices. Holding a long put position is considered a long (positive) gamma trade, as the option starts gaining value at a faster rate with the drop in the price of the underlying asset, thereby making money for the buyer and producing a loss for the seller (holder of short gamma position). According to Collins, market makers were short gamma (sellers of puts) at $52,000-$50,000 on Wednesday. As bitcoin started falling, the negative gamma exposure became a pain: Puts sold at the aforementioned strikes began gaining value, signaling losses for the market makers. Thus, market makers responded by selling bitcoin in the spot/futures market.Data provided by Collins shows estimated dealer inventory fell by 2,900 BTC during bitcoin's price slide. The inventory estimate represents the number of bitcoin shorted in the spot and futures market. (One BTC futures contract represents one coin on major exchanges. The Chicago Mercantile Exchange’s contract size is 5.)Greg Magadini, CEO and co-founder of options analytics platform Genesis Volatility, agreed with Collins' theory, stating in a Telegram chat that many traders were holding long put positions or bearish bets at $50,000 and $48,000. The theory can be debated on the grounds that the sale of 2,900 BTC worth $145 million at the current price around $50,000 is too small a trade to have a sizable bearish impact on the cryptocurrency with a market capitalization of $1 trillion. Nevertheless, the fact that traders and analysts are starting to assess the cryptocurrency options market makers' hedging activity reflects the derivatives segment's growing relevance in the bitcoin market. Also read: Fairlead’s Stockton Warns of Bitcoin Correction to $42K, Based on Technical Analysis",2021-05-14
3603,"Argo Blockchain and DMG Blockchain, cryptocurrency mining firms that are publicly traded in the U.K. and Canada, respectively, have joined the Crypto Climate Accord (CCA), an advocacy group that pushes for lower carbon emissions in the crypto-mining industry. The two firms said Friday they are now working with the CCA to develop a new working group to promote the accord’s objectives, while also working to increase transparency around energy sourcing by crypto mining operations.The CCA is a private sector-led initiative that sets out to reduce overall emissions in cryptocurrency mining, which has become a cause for concern for some high-profile investors such as Elon Musk. The organization is encouraging the industry to achieve net-zero greenhouse gas emissions by 2040.“The Crypto Climate Accord helps lay the groundwork for real, tangible action to address Bitcoin mining’s impact on the environment, and we are both eager and determined to ensure that Supporters and Signatories remain committed to the group’s goals,” Argo Blockchain CEO Peter Wall said.Argo and DMG said it’s estimated that crypto mining worldwide accounts for up to 0.5% of global power usage, though they did not provide a source for the data.The two firms are already working on environmental initiatives, having signed an agreement in March to launch a bitcoin mining pool that would be completely powered by clean energy. On Thursday, Argo Blockchain announced the purchase of two data centers in Canada that are largely powered by hydroelectricity.See also: What Bloomberg Gets Wrong About Bitcoin’s Climate Footprint",2021-05-14
3604,"A closely tracked ratio in cryptocurrency markets known as the ""Grayscale premium"" flipped earlier this year to a discount, and it has widened this week to a gaping 21%, which is the highest level on record, according to Skew, a crypto analysis firm. For retail traders, or anyone with access to a brokerage account, the growing disparity might present an opportunity to buy bitcoin on the cheap, analysts say. The Grayscale Bitcoin Trust (GBTC), from the crypto asset manager Grayscale, is the largest U.S. investment vehicle for buying bitcoin (BTC) through a stock exchange. The Grayscale discount represents the difference between the price of the underlying bitcoin assets and the value that's implied from the price of the trust's shares. (Grayscale is owned by Digital Currency Group, CoinDesk's parent company.)The bet some traders could be making now is that the discount would evaporate if Grayscale receives approval from the U.S. Securities and Exchange Commission (SEC) to convert the trust to an exchage-traded fund. If that happened, according to one analyst, the shares might quickly climb back toward the price of the underlying bitcoin – allowing traders to recapture the discount as a profit while still booking any gains from the cryptocurrency itself.  “Investors looking for long-term passive bitcoin exposure are probably better off buying GBTC over spot bitcoin since you get paid to wait more via the discount than you pay in excess fees,”  David Grider, strategist at investment research firm FundStrat, wrote in an email.In recent years, when GBTC was trading at a premium, the situation looked much different.Accredited investors – usually big institutional players or wealthy people – could profit from buying into GBTC at the trust's net asset value (NAV). They were subject to a lockup period of six months, but after that, they could then sell their shares for a profit in the open market to lock in any gains from bitcoin and capture the premium as an extra kicker. The 20%-50% GBTC premium also could offset the risk from any potential declines in bitcoin’s price. But that ""Grayscale trade"" wasn't available to retail traders.  Then in March, as bitcoin's 2021 rally stalled and more competition arrived from bitcoin ETFs in Canada, Switzerland and elsewhere, GBTC began trading at a discount to its net asset value, a disincentive for new institutional buyers. Another deterrent was the 2% annual fee. “Much of the discount has been the result of investors expecting a U.S.-listed bitcoin ETF in the near future after the approval of several in Canada,” Grider wrote.Grider’s view assumes Grayscale is successful in converting the trust into an ETF, which is far from assured. There's a risk that the SEC might not approve any bitcoin ETFs or that Grayscale's proposal might not be approved as soon as competing investment vehicles are.   But now that Grayscale is “100% committed to converting GBTC into an ETF,” market confidence could return and potentially unlock roughly $5 billion worth of GBTC shares in the coming months, according to Grider.These unlocked GBTC shares will be available to retail traders at a discount.“Investors who own GBTC could see their shares converge towards NAV,” Grayscale wrote in an email.Another short-term or medium-term risk is that the GBTC discount widens from current levels. “For traders, I wouldn’t be surprised if the gap widens over the next few weeks as a big chunk of new supply comes to the market, but the overhang should start to clear up heading into Q3,” Grider wrote.Digital Currency Group authorized the purchase of up to $750 million worth of shares of GBTC on May 3. Repurchasing shares is a common tool used by companies seeking to increase the price of those shares by simultaneously creating demand while decreasing the number of shares outstanding.  A representative for Grayscale and DCG declined to comment.",2021-05-14
3605,"Bitcoin (BTC) is rising from oversold levels as traders continue to digest Tesla’s announcement on Wednesday, which triggered a near 15% price drop. The cryptocurrency held support around $46,000 and is currently trading back above $50,000 at the time of writing.However, long-term momentum continues to weaken, which could limit price recoveries this weekend and into next week.",2021-05-14
3606,"A Bank of England official has spoken of the institution's plans to launch a U.K. central bank digital currency (CBDC), now often dubbed “Britcoin.”In a speech Thursday, Sir Jon Cunliffe, deputy governor for financial stability, said it looks “probable” that the state would need to issue some form of digital cash to retain citizens’ confidence in the availability of public money.“The knowledge that under stress depositors have the option to switch into state money may be important in preventing a more general loss of confidence in money,” Cunliffe said.Such loss of confidence could see more consumers “locked into private money”, he said, citing stablecoins launched by Big Tech platforms as an example. These are likely “to have greater functionality and lower transaction costs than the current commercial bank digital money offering and could quickly attract a large number of users.”Thus far the central bank has only published a discussion paper and announced a taskforce to explore a CBDC, so the comments are perhaps notable as a sign of intent.In other news, Andrew Bailey, governor of the Bank of England, has warned again about investing in crypto assets, soon after bitcoin’s price took a sharp dip under $50,000.Also read: Former CFTC Boss’ Digital Dollar Project Ready to Kick Off First US CBDC TestsSpeaking at a Bank of England citizens’ panel event Thursday, Bailey spoke of the “warning sign” of people looking for investment opportunities in crypto.“You’ve probably seen all the stories about the price of bitcoin, share prices in the U.S. suddenly rocketing up for companies that nobody quite knows what they do,” he said.“Buy it if you want, but it has no intrinsic value,” Bailey concluded, echoing his comments of a week ago when he told a press conference that crypto investors should be prepared to lose all their money.",2021-05-14
3607,"Renaissance Technologies cranked up its exposure to the cryptocurrency ecosystem last quarter, amassing its largest-ever positions in mining stocks, worth over $140 million in total at the end of March.The storied quant fund manager of $115 billion ended Q1 with 1.16 million Riot Blockchain shares ($61.8 million), 1.56 million Marathon shares ($75 million) and 203,672 Canaan shares ($4.2 million), according to Thursday disclosures. Renaissance Technologies has chased crypto mining’s upside since at least 2017 with occasional bets on MARA, RIOT and CAN. But those positions had never eclipsed $1 million, and the hedge fund ended 2020 with no exposure to the crypto mining sector at all.Crypto mining stocks rallied to new heights during the recent bull run, giving U.S. investors a sideways route to speculate on crypto without actually owning any. RIOT and MARA actually outperformed bitcoin at times. The combined positions far outstrip RenTech’s 2020 positions in MicroStrategy, another crypto bellwether stock that raced upward with bitcoin’s rise. In fact, RenTech, which at one point held over $40 million in MSTR, according to The Block, appears to have closed out its MSTR holdings, ending Q1 2021 with no MSTR on the books. In April 2020 RenTech gave its Medallion funds the green light to invest in cash-settled bitcoin futures.",2021-05-13
3608,"Coinbase will add meme-based cryptocurrency dogecoin to its list of tradable assets, CEO Brian Armstrong said on the company's Q1 earnings call Thursday.""We plan to list DOGE in the next six to eight weeks,"" Armstrong said in response to an analyst question. ""And then more broadly, we're going to be focused on how we can accelerate asset addition in the future.""Software engineers Jackson Palmer and Billy Markus launched dogecoin in 2013 as a joke to mock cryptocurrencies' speculative nature and engage a wider audience than bitcoin. Featuring a cheery looking Shiba Inu, a small Japanese hunting dog, the coin initially drew a small but loyal following, although its price languished at under a penny until earlier this year. Over the past six weeks, retail investor interest plus DOGE-friendly tweets by billionaire Elon Musk have sent the coin's price soaring as high as $0.71 on May 5, although it fell under $0.40 shortly after, amid a cryptocurrency pricing freefall. ",2021-05-13
3609,"It’s Elon Musk’s crypto world. A bearish tweet from the entrepreneur on bitcoin and Tesla reneging on using it as a payment method sent crypto markets dropping.Bitcoin was down 10% Thursday as of press time and going as low as $47,720 around 01:00 UTC (9 p.m. ET). The world’s largest cryptocurrency by market capitalization was below the 10-hour moving average and the 50-day, a bearish signal for market technicians.One fundamental reason for bitcoin’s drop: Tesla. Bitcoin’s price has been in a very defined range over the past two weeks but the electric car maker’s announcement Wednesday that it would stop accepting BTC because of environmental issues related to bitcoin mining led to immediate selling that spilled into the next day.“What saddens me is the way the weak hands and recent buyers see Elon Musk as a prophet, powerhouse and decisive figure in bitcoin,” said Henrik Kugelberg, a bitcoin over-the-counter trader. Bitcoin's price has tumbled 17% since Sunday, on track for the worst weekly performance since February. “The BTC chart structure is very weak and there is not any significant positive trigger for BTC to move higher,” said Delta Exchange CEO Pankaj Balani.Some analysts lament Musk's ability to sway crypto prices, with even dogecoin (DOGE) at his mercy. DOGE is down 32% so far this week, after the price failed to pump when the billionaire entrepreneur appeared as host of the long-running comedy show ""Saturday Night Live.""  “If anything, what this is revealing is the sensitivity of the new money in the space,” said Vishal Shah, founder of derivatives exchange Alpha5. “Right now, the drivers are mostly macro, and hence correlation to other assets is back in the cards.”Tesla’s stock is down 3.1%. Its 2021 performance has been poor, down over 22% so far.In the bitcoin derivatives market, it appears traders are doing less hedging. A Forbes article Thursday points to traders cashing out short positions on CME as bitcoin fell. Data from Skew also suggests a large number of sell liquidations on the futures market occurred during the past 24 hours, maxing at over $400 million in selling around 22:00 UTC (6 p.m. ET) Wednesday.However, traders may want to start hedging more often because Delta Exchange’s Balani expects choppy waters ahead for crypto. “Now there is a clear negative trigger that can lead to a large correction in BTC and altcoins,” he said. “Given a breakdown of crucial support levels in BTC, volatility in BTC and alts is going to be higher.” Read More: MicroStrategy Keeps Buying Bitcoin, Adds Another $15MEther, the second-largest cryptocurrency by market capitalization, was trading around $3,651 as of 21:00 UTC (4:00 p.m. ET), down 10% over the prior 24 hours. The asset is below the 10-hour moving average as well as the 50-day, a bearish signal for market technicians. Despite the drop, there is at least one long-term fundamental positive for ether: The use of decentralized finance, or DeFi, on Ethereum. According to data aggregator Dune Analytics, Wednesday was the highest volume day in the past month for decentralized exchanges, or DEXs. Uniswap, as usual, led the way with $3.7 billion in volume.While the market may be dipping and volatility may crop up, Simon Peters, an analyst at multi-asset investment platform eToro, is focused on the core technologies of crypto and the value they may unlock for a bull case over the long haul. “For many crypto assets such as bitcoin and ethereum, the long-term story has not changed,” said Peters. “This emerging asset class continues to revolutionize many aspects of financial services. And while nothing goes up in a straight line, the long-term fundamentals for crypto assets remain as solid as ever.”Read More: Crypto App Alice Raises $2M for US-Centric Terra DeFi PortalDespite a down crypto day, analysts expect altcoins to continue to flourish. “Overall, the market is now being driven by alternative assets that are able to innovate faster than bitcoin and ethereum,” said Michael Gord, chief executive officer of quant firm Global Digital Assets. “This provides a massive opportunity for new networks to test and build innovations faster that bring over value away from bitcoin and ethereum.”Technical analyst Katie Stockton from Fairlead Strategies likes stellar (XLM) and cardano (ADA), while she is bearish on dogecoin. “Note that dogecoin has assumed an unfavorable trajectory relative to bitcoin over the past week, while stellar and cardano have the best short-term relative strength outlooks,” she said.  Digital assets on the CoinDesk 20 are mostly in the red Thursday. Notable winners as of 21:00 UTC (4:00 p.m. ET):Notable losers:Read More: Samsung Adds Ledger Wallet Support in Latest Crypto Tie-UpEquities:Commodities:Treasurys:",2021-05-13
